text,label
"I love how fast the delivery was!",positive
"The support team was useless and didn’t fix my problem.",negative
"Great quality for the price, totally worth it.",positive
"Terrible experience, the app keeps crashing.",negative
"Absolutely amazing service, I’m impressed!",positive
"Not satisfied at all; the product arrived damaged.",negative
"The chatbot was helpful and answered all my questions.",positive
"Customer care ignored my emails for days.",negative
"This update made the UI cleaner and faster.",positive
"The latest patch broke notifications again.",negative
"Really pleased with the performance improvements.",positive
"The website is slow and keeps timing out.",negative
"Thanks for the quick refund, much appreciated!",positive
"Refund was denied without any explanation.",negative
"Super intuitive design, easy to navigate.",positive
"Confusing layout and buttons don’t do anything.",negative
"Features work as expected and feel polished.",positive
"Feels buggy; half the buttons don’t respond.",negative
"Great packaging and friendly courier.",positive
"Item missing from the box and no resolution yet.",negative
